corpus,resid,ent,margin,perp,masked_n_files,masked_n_masked_frames,masked_fails,masked_nce_mean,masked_nce_median,masked_nce_p95,masked_acc_mean,masked_tie_rate,masked_pos_gap_mean
English_CV,0.9589707851409912,0.16805852949619293,8.13647174835205,63.66738966512614,1000,62708,0,2.8371996879577637,2.928403377532959,5.233684062957764,0.32925623655319214,0.1803278625011444,0.4526756703853607
Sinhala_YT,0.9551101326942444,0.17930902540683746,7.656606674194336,56.07020639185774,999,144168,0,2.4819159507751465,2.404921054840088,5.095373153686523,0.3278258740901947,0.12416763603687286,0.4805450439453125
Tamil_YT,0.955456018447876,0.1738964468240738,7.794106960296631,53.30295124820288,1000,160601,0,2.3295154571533203,2.202430486679077,4.976812362670898,0.35426926612854004,0.12218479067087173,0.5046515464782715
Sinhala_read,0.9027793407440186,0.14124274253845215,9.405906677246094,41.37387081119138,1000,62401,0,2.855588674545288,2.9963624477386475,5.148960113525391,0.3367574214935303,0.13863560557365417,0.43797534704208374
Tamil_read,0.9208894968032837,0.14662419259548187,8.92029857635498,50.207448928638314,1000,64774,0,2.9267737865448,3.0568900108337402,5.343748569488525,0.3163923919200897,0.16637848317623138,0.42586129903793335
Ctl_SpeedPitch,0.9521853923797607,0.21754081547260284,6.669007301330566,43.3882389643675,300,23343,0,3.1643810272216797,3.264967679977417,5.233077049255371,0.2130403071641922,0.19341987371444702,0.40511032938957214
Ctl_Babble,0.9485103487968445,0.22150537371635437,6.709161758422852,51.17119558682057,300,19374,0,3.359605073928833,3.489020347595215,5.537258625030518,0.2578713595867157,0.07143594324588776,0.29699820280075073
Ctl_Reversed,0.9558286070823669,0.1971299797296524,7.311711311340332,61.24027431308377,300,19374,0,3.438615322113037,3.573362112045288,5.501977443695068,0.21234644949436188,0.15169815719127655,0.3116978406906128
Ctl_Tones,1.0745052099227905,0.16855809092521667,8.710444450378418,8.09967064773137,300,19374,0,3.9600212574005127,3.9099273681640625,5.281079292297363,0.021575307473540306,0.6852482557296753,0.3026657700538635
Ctl_WhiteNoise,1.0846372842788696,0.16513311862945557,6.313920974731445,1.7081136755876627,300,19374,0,4.664685249328613,4.496090888977051,5.751229763031006,0.0077939508482813835,0.5622483491897583,0.011179124936461449
